arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
cleanlab/rank.py,funcao,order_label_issues,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
cleanlab/rank.py,funcao,get_self_confidence_for_each_label,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/rank.py,funcao,get_normalized_margin_for_each_label,5,10,7,13,15,20,44.8289,78.1378,3.25,253.9479,14.1082,0.026
cleanlab/rank.py,funcao,get_confidence_weighted_entropy_for_each_label,2,6,3,6,8,9,17.5098,27.0,1.0,27.0,1.5,0.009
cleanlab/__init__.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/__init__.py,funcao,__getattr__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
cleanlab/__init__.py,funcao,__call__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
cleanlab/__init__.py,funcao,_datalab_import_factory,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/__init__.py,funcao,_issue_manager_import_factory,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/benchmarking/noise_generation.py,funcao,noise_matrix_is_valid,6,33,26,50,39,76,181.9748,401.6906,4.5455,1825.8662,101.437,0.1339
cleanlab/benchmarking/noise_generation.py,funcao,generate_noisy_labels,7,18,9,19,25,28,94.7101,130.028,3.6944,480.3811,26.6878,0.0433
cleanlab/benchmarking/noise_generation.py,funcao,generate_noise_matrix_from_trace,14,37,36,71,51,107,246.0527,606.9495,13.4324,8152.8083,452.9338,0.2023
cleanlab/benchmarking/noise_generation.py,funcao,generate_n_rand_probabilities_that_sum_to_m,7,56,42,84,63,126,344.8634,753.1373,5.25,3953.9707,219.665,0.251
cleanlab/benchmarking/noise_generation.py,funcao,randomly_distribute_N_balls_into_K_bins,9,17,15,30,26,45,98.0162,211.5198,7.9412,1679.716,93.3176,0.0705
cleanlab/datalab/datalab.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/datalab.py,funcao,__repr__,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/datalab.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/datalab.py,funcao,labels,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/datalab.py,funcao,has_labels,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/datalab.py,funcao,class_names,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/datalab.py,funcao,find_issues,3,4,3,5,7,8,12.7549,22.4588,1.875,42.1103,2.3395,0.0075
cleanlab/datalab/datalab.py,funcao,report,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
cleanlab/datalab/datalab.py,funcao,issues,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/datalab.py,funcao,issue_summary,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/datalab.py,funcao,info,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/datalab.py,funcao,get_issues,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
cleanlab/datalab/datalab.py,funcao,get_issue_summary,0,0,0,0,0,0,0,0,0,0,0,0
cleanlab/datalab/datalab.py,funcao,get_info,0,0,0,0,0,0,0,0,0,0,0,0
